Nome do objeto,Variação do Objeto,Dia/Noite,Ambiente,Fundo,Tamanho (KB),Dimensão (pixels) (Largura x Altura),URL da imagem;;;;;;;
Caneca,1,dia,in,7,2548,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-in-fundo7.jpg;;;;;;;
Caneca,1,dia,in,8,2078,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-in-fundo8.jpg;;;;;;;
Caneca,1,dia,in,9,1840,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-in-fundo9.jpg;;;;;;;
Caneca,1,dia,out,11,2728,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-out-fundo11.jpg;;;;;;;
Caneca,1,dia,out,12,2198,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-out-fundo12.jpg;;;;;;;
Caneca,1,dia,out,13,3346,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-out-fundo13.jpg;;;;;;;
Caneca,1,noite,in,7,1517,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-in-fundo7.jpg;;;;;;;
Caneca,1,noite,in,8,2473,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-in-fundo8.jpg;;;;;;;
Caneca,1,noite,in,9,1436,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-in-fundo9.jpg;;;;;;;
Caneca,1,noite,out,12,2417,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-out-fundo12.jpg;;;;;;;
Caneca,1,noite,out,14,2284,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-out-fundo14.jpg;;;;;;;
Caneca,1,noite,out,15,3718,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-out-fundo15.jpg;;;;;;;
Caneca,2,dia,in,7,1921,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-in-fundo7.jpg;;;;;;;
Caneca,2,dia,in,8,2045,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-in-fundo8.jpg;;;;;;;
Caneca,2,dia,in,9,1587,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-in-fundo9.jpg;;;;;;;
Caneca,2,dia,out,11,2763,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-out-fundo11.jpg;;;;;;;
Caneca,2,dia,out,12,2854,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-out-fundo12.jpg;;;;;;;
Caneca,2,dia,out,13,3066,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-out-fundo13.jpg;;;;;;;
Caneca,2,noite,in,7,2789,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-in-fundo7.jpg;;;;;;;
Caneca,2,noite,in,8,3234,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-in-fundo8.jpg;;;;;;;
Caneca,2,noite,in,9,1963,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-in-fundo9.jpg;;;;;;;
Caneca,2,noite,out,12,2430,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-out-fundo12.jpg;;;;;;;
Caneca,2,noite,out,14,2130,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-out-fundo14.jpg;;;;;;;
Caneca,2,noite,out,15,3063,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-out-fundo15.jpg;;;;;;;
Caneca,3,dia,in,2,2000,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca3-dia-in-fundo2.jpg;;;;;;;
Caneca,3,dia,in,7,1970,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca3-dia-in-fundo7.jpg;;;;;;;
Caneca,3,dia,in,9,2045,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca3-dia-in-fundo9.jpg;;;;;;;
Caneca,3,dia,out,11,2677,4080x3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca3-dia-out-fundo11.jpg;;;;;;;
